episode_id,selection_group,pair_id,scenario_family,condition,pressure_condition,path
v2-coding_billing-bgpr-000-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-000,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-000-neutral.json
v2-coding_billing-bgpr-000-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-000,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-000-pressure.json
v2-coding_billing-bgpr-001-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-001,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-001-neutral.json
v2-coding_billing-bgpr-001-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-001,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-001-pressure.json
v2-coding_billing-bgpr-002-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-002,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-002-neutral.json
v2-coding_billing-bgpr-002-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-002,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-002-pressure.json
v2-coding_billing-bgpr-003-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-003,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-003-neutral.json
v2-coding_billing-bgpr-003-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-003,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-003-pressure.json
v2-coding_billing-bgpr-004-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-004,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-004-neutral.json
v2-coding_billing-bgpr-004-pressure,capability_control_closed_model_v1,v2-coding_billing-bgpr-004,coding_and_billing_pressure,background_pressure,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-004-pressure.json
v2-coding_billing-bgpr-005-neutral,capability_control_closed_model_v1,v2-coding_billing-bgpr-005,coding_and_billing_pressure,neutral,background_pressure,scenarios/phase2_v2/generated/v2-coding_billing-bgpr-005-neutral.json
