episode_id,pair_id,scenario_family,condition,twin_role,pressure_condition,selection_group,selection_reason
v2-coding_billing-bgpm-000-neutral,v2-coding_billing-bgpm-000,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-000-pressure,v2-coding_billing-bgpm-000,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-002-neutral,v2-coding_billing-bgpm-002,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-002-pressure,v2-coding_billing-bgpm-002,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-004-neutral,v2-coding_billing-bgpm-004,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-004-pressure,v2-coding_billing-bgpm-004,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-006-neutral,v2-coding_billing-bgpm-006,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-006-pressure,v2-coding_billing-bgpm-006,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-008-neutral,v2-coding_billing-bgpm-008,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-008-pressure,v2-coding_billing-bgpm-008,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-010-neutral,v2-coding_billing-bgpm-010,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-010-pressure,v2-coding_billing-bgpm-010,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-000-neutral,v2-coding_billing-bgpr-000,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-000-pressure,v2-coding_billing-bgpr-000,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-002-neutral,v2-coding_billing-bgpr-002,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-002-pressure,v2-coding_billing-bgpr-002,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-004-neutral,v2-coding_billing-bgpr-004,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-004-pressure,v2-coding_billing-bgpr-004,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-006-neutral,v2-coding_billing-bgpr-006,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-006-pressure,v2-coding_billing-bgpr-006,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-008-neutral,v2-coding_billing-bgpr-008,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-008-pressure,v2-coding_billing-bgpr-008,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-010-neutral,v2-coding_billing-bgpr-010,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-010-pressure,v2-coding_billing-bgpr-010,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-000-neutral,v2-coding_billing-diri-000,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-000-pressure,v2-coding_billing-diri-000,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-002-neutral,v2-coding_billing-diri-002,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-002-pressure,v2-coding_billing-diri-002,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-004-neutral,v2-coding_billing-diri-004,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-004-pressure,v2-coding_billing-diri-004,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-006-neutral,v2-coding_billing-diri-006,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-006-pressure,v2-coding_billing-diri-006,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-008-neutral,v2-coding_billing-diri-008,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-008-pressure,v2-coding_billing-diri-008,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-010-neutral,v2-coding_billing-diri-010,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-010-pressure,v2-coding_billing-diri-010,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-000-neutral,v2-coding_billing-hspr-000,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-000-pressure,v2-coding_billing-hspr-000,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-002-neutral,v2-coding_billing-hspr-002,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-002-pressure,v2-coding_billing-hspr-002,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-004-neutral,v2-coding_billing-hspr-004,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-004-pressure,v2-coding_billing-hspr-004,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-006-neutral,v2-coding_billing-hspr-006,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-006-pressure,v2-coding_billing-hspr-006,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-008-neutral,v2-coding_billing-hspr-008,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-008-pressure,v2-coding_billing-hspr-008,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
