episode_id,pair_id,scenario_family,condition,twin_role,pressure_condition,selection_group,selection_reason
v2-quality_metric-bgpm-000-neutral,v2-quality_metric-bgpm-000,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-000-pressure,v2-quality_metric-bgpm-000,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-002-neutral,v2-quality_metric-bgpm-002,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-002-pressure,v2-quality_metric-bgpm-002,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-004-neutral,v2-quality_metric-bgpm-004,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-004-pressure,v2-quality_metric-bgpm-004,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-006-neutral,v2-quality_metric-bgpm-006,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-006-pressure,v2-quality_metric-bgpm-006,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-008-neutral,v2-quality_metric-bgpm-008,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-008-pressure,v2-quality_metric-bgpm-008,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-010-neutral,v2-quality_metric-bgpm-010,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-010-pressure,v2-quality_metric-bgpm-010,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-000-neutral,v2-quality_metric-bgpr-000,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-000-pressure,v2-quality_metric-bgpr-000,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-002-neutral,v2-quality_metric-bgpr-002,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-002-pressure,v2-quality_metric-bgpr-002,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-004-neutral,v2-quality_metric-bgpr-004,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-004-pressure,v2-quality_metric-bgpr-004,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-006-neutral,v2-quality_metric-bgpr-006,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-006-pressure,v2-quality_metric-bgpr-006,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-008-neutral,v2-quality_metric-bgpr-008,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
