episode_id,pair_id,scenario_family,condition,twin_role,pressure_condition,selection_group,selection_reason
v2-coding_billing-bgpm-001-neutral,v2-coding_billing-bgpm-001,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-001-pressure,v2-coding_billing-bgpm-001,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-003-neutral,v2-coding_billing-bgpm-003,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-003-pressure,v2-coding_billing-bgpm-003,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-005-neutral,v2-coding_billing-bgpm-005,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-005-pressure,v2-coding_billing-bgpm-005,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-007-neutral,v2-coding_billing-bgpm-007,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-007-pressure,v2-coding_billing-bgpm-007,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-009-neutral,v2-coding_billing-bgpm-009,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-009-pressure,v2-coding_billing-bgpm-009,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-011-neutral,v2-coding_billing-bgpm-011,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-011-pressure,v2-coding_billing-bgpm-011,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-001-neutral,v2-coding_billing-bgpr-001,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-001-pressure,v2-coding_billing-bgpr-001,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-003-neutral,v2-coding_billing-bgpr-003,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-003-pressure,v2-coding_billing-bgpr-003,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-005-neutral,v2-coding_billing-bgpr-005,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-005-pressure,v2-coding_billing-bgpr-005,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-007-neutral,v2-coding_billing-bgpr-007,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-007-pressure,v2-coding_billing-bgpr-007,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-009-neutral,v2-coding_billing-bgpr-009,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-009-pressure,v2-coding_billing-bgpr-009,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-011-neutral,v2-coding_billing-bgpr-011,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-011-pressure,v2-coding_billing-bgpr-011,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-001-neutral,v2-coding_billing-diri-001,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-001-pressure,v2-coding_billing-diri-001,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-003-neutral,v2-coding_billing-diri-003,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-003-pressure,v2-coding_billing-diri-003,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-005-neutral,v2-coding_billing-diri-005,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-005-pressure,v2-coding_billing-diri-005,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-007-neutral,v2-coding_billing-diri-007,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-007-pressure,v2-coding_billing-diri-007,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-009-neutral,v2-coding_billing-diri-009,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-009-pressure,v2-coding_billing-diri-009,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-011-neutral,v2-coding_billing-diri-011,coding_and_billing_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-diri-011-pressure,v2-coding_billing-diri-011,coding_and_billing_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-001-neutral,v2-coding_billing-hspr-001,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-001-pressure,v2-coding_billing-hspr-001,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-003-neutral,v2-coding_billing-hspr-003,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-003-pressure,v2-coding_billing-hspr-003,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-005-neutral,v2-coding_billing-hspr-005,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-005-pressure,v2-coding_billing-hspr-005,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-007-neutral,v2-coding_billing-hspr-007,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-007-pressure,v2-coding_billing-hspr-007,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-009-neutral,v2-coding_billing-hspr-009,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-009-pressure,v2-coding_billing-hspr-009,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-011-neutral,v2-coding_billing-hspr-011,coding_and_billing_pressure,neutral,neutral,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-hspr-011-pressure,v2-coding_billing-hspr-011,coding_and_billing_pressure,honesty_system_prompt,pressure,honesty_system_prompt,honesty_system_prompt,full_run_all_pairs_authoritative_v2
v2-coding_billing-repl-001-neutral,v2-coding_billing-repl-001,coding_and_billing_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-coding_billing-repl-001-pressure,v2-coding_billing-repl-001,coding_and_billing_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-coding_billing-repl-003-neutral,v2-coding_billing-repl-003,coding_and_billing_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-coding_billing-repl-003-pressure,v2-coding_billing-repl-003,coding_and_billing_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-coding_billing-repl-005-neutral,v2-coding_billing-repl-005,coding_and_billing_pressure,neutral,neutral,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
v2-coding_billing-repl-005-pressure,v2-coding_billing-repl-005,coding_and_billing_pressure,replacement_ablation,pressure,replacement_ablation,replacement_ablation,full_run_all_pairs_authoritative_v2
