episode_id,pair_id,scenario_family,condition,twin_role,pressure_condition,selection_group,selection_reason
v2-quality_metric-bgpm-001-neutral,v2-quality_metric-bgpm-001,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-001-pressure,v2-quality_metric-bgpm-001,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-003-neutral,v2-quality_metric-bgpm-003,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-003-pressure,v2-quality_metric-bgpm-003,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-005-neutral,v2-quality_metric-bgpm-005,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-005-pressure,v2-quality_metric-bgpm-005,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-007-neutral,v2-quality_metric-bgpm-007,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-007-pressure,v2-quality_metric-bgpm-007,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-009-neutral,v2-quality_metric-bgpm-009,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-009-pressure,v2-quality_metric-bgpm-009,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-011-neutral,v2-quality_metric-bgpm-011,quality_metric_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpm-011-pressure,v2-quality_metric-bgpm-011,quality_metric_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-001-neutral,v2-quality_metric-bgpr-001,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-001-pressure,v2-quality_metric-bgpr-001,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-003-neutral,v2-quality_metric-bgpr-003,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-003-pressure,v2-quality_metric-bgpr-003,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-005-neutral,v2-quality_metric-bgpr-005,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-005-pressure,v2-quality_metric-bgpr-005,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-007-neutral,v2-quality_metric-bgpr-007,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-007-pressure,v2-quality_metric-bgpr-007,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-009-neutral,v2-quality_metric-bgpr-009,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-009-pressure,v2-quality_metric-bgpr-009,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-011-neutral,v2-quality_metric-bgpr-011,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-bgpr-011-pressure,v2-quality_metric-bgpr-011,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-quality_metric-diri-001-neutral,v2-quality_metric-diri-001,quality_metric_pressure,neutral,neutral,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
v2-quality_metric-diri-001-pressure,v2-quality_metric-diri-001,quality_metric_pressure,direct_incentive,pressure,direct_incentive,direct_incentive,full_run_all_pairs_authoritative_v2
