episode_id,pair_id,scenario_family,condition,twin_role,pressure_condition,selection_group,selection_reason
v2-readmission-bgpm-001-neutral,v2-readmission-bgpm-001,readmission_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-001-pressure,v2-readmission-bgpm-001,readmission_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-003-neutral,v2-readmission-bgpm-003,readmission_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-003-pressure,v2-readmission-bgpm-003,readmission_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-005-neutral,v2-readmission-bgpm-005,readmission_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-005-pressure,v2-readmission-bgpm-005,readmission_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-007-neutral,v2-readmission-bgpm-007,readmission_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-007-pressure,v2-readmission-bgpm-007,readmission_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-009-neutral,v2-readmission-bgpm-009,readmission_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-009-pressure,v2-readmission-bgpm-009,readmission_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-011-neutral,v2-readmission-bgpm-011,readmission_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpm-011-pressure,v2-readmission-bgpm-011,readmission_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-001-neutral,v2-readmission-bgpr-001,readmission_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-001-pressure,v2-readmission-bgpr-001,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-readmission-bgpr-003-neutral,v2-readmission-bgpr-003,readmission_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
