episode_id,pair_id,scenario_family,condition,twin_role,pressure_condition,selection_group,selection_reason
v2-coding_billing-bgpm-000-neutral,v2-coding_billing-bgpm-000,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-000-pressure,v2-coding_billing-bgpm-000,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-001-neutral,v2-coding_billing-bgpm-001,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-001-pressure,v2-coding_billing-bgpm-001,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-002-neutral,v2-coding_billing-bgpm-002,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-002-pressure,v2-coding_billing-bgpm-002,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-003-neutral,v2-coding_billing-bgpm-003,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-003-pressure,v2-coding_billing-bgpm-003,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-004-neutral,v2-coding_billing-bgpm-004,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-004-pressure,v2-coding_billing-bgpm-004,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-005-neutral,v2-coding_billing-bgpm-005,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-005-pressure,v2-coding_billing-bgpm-005,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-006-neutral,v2-coding_billing-bgpm-006,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-006-pressure,v2-coding_billing-bgpm-006,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-007-neutral,v2-coding_billing-bgpm-007,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-007-pressure,v2-coding_billing-bgpm-007,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-008-neutral,v2-coding_billing-bgpm-008,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-008-pressure,v2-coding_billing-bgpm-008,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-009-neutral,v2-coding_billing-bgpm-009,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-009-pressure,v2-coding_billing-bgpm-009,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-010-neutral,v2-coding_billing-bgpm-010,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-010-pressure,v2-coding_billing-bgpm-010,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-011-neutral,v2-coding_billing-bgpm-011,coding_and_billing_pressure,neutral,neutral,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpm-011-pressure,v2-coding_billing-bgpm-011,coding_and_billing_pressure,background_pressure_minimal,pressure,background_pressure_minimal,background_pressure_minimal,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-000-neutral,v2-coding_billing-bgpr-000,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-000-pressure,v2-coding_billing-bgpr-000,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-001-neutral,v2-coding_billing-bgpr-001,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-001-pressure,v2-coding_billing-bgpr-001,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-002-neutral,v2-coding_billing-bgpr-002,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-002-pressure,v2-coding_billing-bgpr-002,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-003-neutral,v2-coding_billing-bgpr-003,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-003-pressure,v2-coding_billing-bgpr-003,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-004-neutral,v2-coding_billing-bgpr-004,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-004-pressure,v2-coding_billing-bgpr-004,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-005-neutral,v2-coding_billing-bgpr-005,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-005-pressure,v2-coding_billing-bgpr-005,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-006-neutral,v2-coding_billing-bgpr-006,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-006-pressure,v2-coding_billing-bgpr-006,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-007-neutral,v2-coding_billing-bgpr-007,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-007-pressure,v2-coding_billing-bgpr-007,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-008-neutral,v2-coding_billing-bgpr-008,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-008-pressure,v2-coding_billing-bgpr-008,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-009-neutral,v2-coding_billing-bgpr-009,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-009-pressure,v2-coding_billing-bgpr-009,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
v2-coding_billing-bgpr-010-neutral,v2-coding_billing-bgpr-010,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure,full_run_all_pairs_authoritative_v2
