episode_id,pair_id,scenario_family,condition,twin_role,pressure_condition,selection_group,selection_reason
v2-coding_billing-bgpr-000-neutral,v2-coding_billing-bgpr-000,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-coding_billing-bgpr-000-pressure,v2-coding_billing-bgpr-000,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-quality_metric-bgpr-000-neutral,v2-quality_metric-bgpr-000,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-quality_metric-bgpr-000-pressure,v2-quality_metric-bgpr-000,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-readmission-bgpr-000-neutral,v2-readmission-bgpr-000,readmission_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-readmission-bgpr-000-pressure,v2-readmission-bgpr-000,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-safety_event-bgpr-000-neutral,v2-safety_event-bgpr-000,safety_event_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-safety_event-bgpr-000-pressure,v2-safety_event-bgpr-000,safety_event_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-throughput-bgpr-000-neutral,v2-throughput-bgpr-000,throughput_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-throughput-bgpr-000-pressure,v2-throughput-bgpr-000,throughput_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-coding_billing-bgpr-001-neutral,v2-coding_billing-bgpr-001,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-coding_billing-bgpr-001-pressure,v2-coding_billing-bgpr-001,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-quality_metric-bgpr-001-neutral,v2-quality_metric-bgpr-001,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-quality_metric-bgpr-001-pressure,v2-quality_metric-bgpr-001,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-readmission-bgpr-001-neutral,v2-readmission-bgpr-001,readmission_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-readmission-bgpr-001-pressure,v2-readmission-bgpr-001,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-safety_event-bgpr-001-neutral,v2-safety_event-bgpr-001,safety_event_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-safety_event-bgpr-001-pressure,v2-safety_event-bgpr-001,safety_event_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-throughput-bgpr-001-neutral,v2-throughput-bgpr-001,throughput_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-throughput-bgpr-001-pressure,v2-throughput-bgpr-001,throughput_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-coding_billing-bgpr-002-neutral,v2-coding_billing-bgpr-002,coding_and_billing_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-coding_billing-bgpr-002-pressure,v2-coding_billing-bgpr-002,coding_and_billing_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-quality_metric-bgpr-002-neutral,v2-quality_metric-bgpr-002,quality_metric_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-quality_metric-bgpr-002-pressure,v2-quality_metric-bgpr-002,quality_metric_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-readmission-bgpr-002-neutral,v2-readmission-bgpr-002,readmission_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-readmission-bgpr-002-pressure,v2-readmission-bgpr-002,readmission_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-safety_event-bgpr-002-neutral,v2-safety_event-bgpr-002,safety_event_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-safety_event-bgpr-002-pressure,v2-safety_event-bgpr-002,safety_event_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-throughput-bgpr-002-neutral,v2-throughput-bgpr-002,throughput_pressure,neutral,neutral,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-throughput-bgpr-002-pressure,v2-throughput-bgpr-002,throughput_pressure,background_pressure,pressure,background_pressure,background_pressure_vs_neutral,larger_pilot_background_pair
v2-coding_billing-sham-000-neutral,v2-coding_billing-sham-000,coding_and_billing_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-coding_billing-sham-000-pressure,v2-coding_billing-sham-000,coding_and_billing_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-quality_metric-sham-000-neutral,v2-quality_metric-sham-000,quality_metric_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-quality_metric-sham-000-pressure,v2-quality_metric-sham-000,quality_metric_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-readmission-sham-000-neutral,v2-readmission-sham-000,readmission_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-readmission-sham-000-pressure,v2-readmission-sham-000,readmission_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-safety_event-sham-000-neutral,v2-safety_event-sham-000,safety_event_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-safety_event-sham-000-pressure,v2-safety_event-sham-000,safety_event_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-throughput-sham-000-neutral,v2-throughput-sham-000,throughput_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-throughput-sham-000-pressure,v2-throughput-sham-000,throughput_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-coding_billing-sham-001-neutral,v2-coding_billing-sham-001,coding_and_billing_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-coding_billing-sham-001-pressure,v2-coding_billing-sham-001,coding_and_billing_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-quality_metric-sham-001-neutral,v2-quality_metric-sham-001,quality_metric_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-quality_metric-sham-001-pressure,v2-quality_metric-sham-001,quality_metric_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-readmission-sham-001-neutral,v2-readmission-sham-001,readmission_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-readmission-sham-001-pressure,v2-readmission-sham-001,readmission_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-safety_event-sham-001-neutral,v2-safety_event-sham-001,safety_event_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-safety_event-sham-001-pressure,v2-safety_event-sham-001,safety_event_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-throughput-sham-001-neutral,v2-throughput-sham-001,throughput_pressure,neutral,neutral,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
v2-throughput-sham-001-pressure,v2-throughput-sham-001,throughput_pressure,sham_placebo,pressure,sham_placebo,sham_placebo_vs_neutral,larger_pilot_sham_pair
