model,metric,neutral_mean,pressure_mean,paired_delta_pressure_minus_neutral,ci_95_lower,ci_95_upper,n_pairs,bootstrap_reps,seed,resampling_unit
GPT-5.4,ATC,0.703327,0.706108,0.002782,-0.048880,0.052778,60,20000,20260827,matched_pair
GPT-5.4,IVR,0.016667,0.016667,0.000000,-0.050000,0.050000,60,20000,20260827,matched_pair
GPT-5.4,MGR,0.016667,0.000000,-0.016667,-0.050000,0.000000,60,20000,20260827,matched_pair
GPT-5.4,UPR_integrity,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260827,matched_pair
GPT-5.4,AEOR,0.150000,0.083333,-0.066667,-0.133333,-0.016667,60,20000,20260827,matched_pair
GPT-5.4,PSD,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260827,matched_pair
GPT-5.4,CDR,0.150000,0.083333,-0.066667,-0.133333,-0.016667,60,20000,20260827,matched_pair
Claude Sonnet 4.6,ATC,0.684452,0.626115,-0.058337,-0.092780,-0.024428,60,20000,20260828,matched_pair
Claude Sonnet 4.6,IVR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260828,matched_pair
Claude Sonnet 4.6,MGR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260828,matched_pair
Claude Sonnet 4.6,UPR_integrity,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260828,matched_pair
Claude Sonnet 4.6,AEOR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260828,matched_pair
Claude Sonnet 4.6,PSD,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260828,matched_pair
Claude Sonnet 4.6,CDR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260828,matched_pair
Claude Opus 4.7,ATC,0.704445,0.676112,-0.028333,-0.068888,0.014440,60,20000,20260829,matched_pair
Claude Opus 4.7,IVR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260829,matched_pair
Claude Opus 4.7,MGR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260829,matched_pair
Claude Opus 4.7,UPR_integrity,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260829,matched_pair
Claude Opus 4.7,AEOR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260829,matched_pair
Claude Opus 4.7,PSD,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260829,matched_pair
Claude Opus 4.7,CDR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260829,matched_pair
Kimi 2.6,ATC,0.596112,0.534440,-0.061672,-0.107804,-0.016675,60,20000,20260830,matched_pair
Kimi 2.6,IVR,0.016667,0.033333,0.016667,-0.033333,0.067083,60,20000,20260830,matched_pair
Kimi 2.6,MGR,0.000000,0.016667,0.016667,0.000000,0.050000,60,20000,20260830,matched_pair
Kimi 2.6,UPR_integrity,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260830,matched_pair
Kimi 2.6,AEOR,0.100000,0.166667,0.066667,0.016667,0.133333,60,20000,20260830,matched_pair
Kimi 2.6,PSD,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260830,matched_pair
Kimi 2.6,CDR,0.100000,0.166667,0.066667,0.016667,0.133333,60,20000,20260830,matched_pair
GLM-5,ATC,0.651108,0.627777,-0.023332,-0.071110,0.025003,60,20000,20260831,matched_pair
GLM-5,IVR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260831,matched_pair
GLM-5,MGR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260831,matched_pair
GLM-5,UPR_integrity,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260831,matched_pair
GLM-5,AEOR,0.133333,0.050000,-0.083333,-0.166667,-0.016667,60,20000,20260831,matched_pair
GLM-5,PSD,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260831,matched_pair
GLM-5,CDR,0.133333,0.050000,-0.083333,-0.166667,-0.016667,60,20000,20260831,matched_pair
DeepSeek V3.2,ATC,0.622225,0.566670,-0.055555,-0.096112,-0.016667,60,20000,20260832,matched_pair
DeepSeek V3.2,IVR,0.050000,0.000000,-0.050000,-0.116667,0.000000,60,20000,20260832,matched_pair
DeepSeek V3.2,MGR,0.016667,0.000000,-0.016667,-0.050000,0.000000,60,20000,20260832,matched_pair
DeepSeek V3.2,UPR_integrity,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260832,matched_pair
DeepSeek V3.2,AEOR,0.083333,0.100000,0.016667,0.000000,0.050000,60,20000,20260832,matched_pair
DeepSeek V3.2,PSD,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260832,matched_pair
DeepSeek V3.2,CDR,0.083333,0.100000,0.016667,0.000000,0.050000,60,20000,20260832,matched_pair
Gemma 4,ATC,0.523330,0.482213,-0.041117,-0.077230,-0.004447,60,20000,20260833,matched_pair
Gemma 4,IVR,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260833,matched_pair
Gemma 4,MGR,0.016667,0.033333,0.016667,0.000000,0.050000,60,20000,20260833,matched_pair
Gemma 4,UPR_integrity,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260833,matched_pair
Gemma 4,AEOR,0.150000,0.166667,0.016667,0.000000,0.050000,60,20000,20260833,matched_pair
Gemma 4,PSD,0.000000,0.000000,0.000000,0.000000,0.000000,60,20000,20260833,matched_pair
Gemma 4,CDR,0.150000,0.166667,0.016667,0.000000,0.050000,60,20000,20260833,matched_pair
